people_ID,infect_prob
5282,62.56
6178,51.05
18227,51.04
17631,50.15
5598,49.24
17820,49.84
18312,50.13
18716,50.03
18529,49.41
17925,49.15
18314,51.33
5859,50.65
6283,50.06
5562,51.34
5722,50.57
18059,51.55
5770,62.27
18181,51.02
17649,49.84
5828,49.52
5778,52.47
17772,49.92
18732,50.17
6073,50.89
18687,51.59
5395,51.01
6058,52.16
18579,52.44
18846,50.14
5265,52.45
17862,63.96
5237,49.96
17976,61.61
18267,53.05
6048,52.15
18237,51.88
18077,52.96
18299,51.82
5166,51.7
5824,52.07
5216,52.01
18788,51.93
6231,52.69
5178,52.22
18208,52.21
18376,63.98
5350,51.35
5903,51.74
18061,50.15
18821,52.28
18374,51.61
5392,51.66
17958,52.5
6315,53.41
5349,51.13
5227,63.88
5280,63.31
6303,52.14
6023,51.88
5581,63.86
18202,51.06
5970,51.18
18504,51.21
18047,63.04
5532,51.26
18588,51.55
6098,53.07
6189,49.17
17632,51.34
5359,51.72
18500,50.99
6293,63.5
5205,51.85
17915,52.13
17987,50.7
5517,63.68
5501,51.85
5764,62.55
18211,63.19
18487,50.9
17863,51.56
5191,51.86
6111,53.31
5769,61.86
18605,51.54
18038,51.09
5930,50.22
18072,63.52
6102,51.14
18020,51.38
17665,51.83
17668,51.05
18705,63.17
17968,51.66
18212,51.08
5968,52.26
17938,51.72
6277,51.36
18536,64.09
18613,52.53
5766,51.89
18474,62.35
18297,51.71
18753,62.69
18701,51.85
5835,51.17
18142,51.41
18838,63.54
17719,52.06
5890,60.53
5560,50.95
17658,52.61
18582,51.61
18300,62.08
18679,51.69
18365,63.4
18901,51.92
18414,50.97
18889,50.86
18257,50.69
18884,51.63
18873,50.43
5369,51.09
18698,63.28
5746,62.03
17844,50.26
18893,50.21
17867,49.86
17899,50.64
18546,51.28
18325,50.85
6220,50.84
18625,51.34
18053,63.65
5607,51.23
5989,51.26
17712,51.72
18799,51.55
5483,51.09
6157,51.72
5715,61.73
17814,50.29
17754,51.28
5375,62.83
17627,62.63
17654,50.93
5923,50.69
18348,50.46
18657,51.65
5262,50.75
18491,63.25
5851,49.74
17956,51.21
6270,52.1
5932,50.89
18323,62.63
5290,50.85
5434,50.85
17782,50.01
5836,51.11
5729,51.11
17780,50.77
17757,50.4
5197,50.9
18498,62.65
18832,50.56
18023,51.2
5435,50.21
18852,50.5
18254,50.71
18024,50.42
6194,62.45
18007,63.27
5473,50.72
5550,63.72
18451,51.99
6081,49.45
5506,50.67
18098,51.07
17952,50.97
5844,52.45
5692,50.29
5499,51.78
5145,50.1
18499,50.89
5084,62.76
6169,50.44
18758,50.44
18419,51.06
5838,51.82
5847,51.69
18869,51.16
5346,51.53
18885,51.32
5183,51.69
5818,52.32
5648,63.32
18390,51.37
18537,49.63
17954,50.28
17786,52.63
17636,51.43
17660,51.49
18221,51.44
5869,51.87
5656,49.87
5684,52.24
5141,51.6
6168,50.96
18908,50.18
5531,62.77
5680,51.31
5960,50.92
18065,51
18429,50.37
18793,51.43
5457,50.24
18356,60.26
17766,51.12
6066,61.05
18841,62.78
5549,51.04
5398,50.9
17904,62.54
18322,51.77
5119,61.31
5705,51.19
5977,51.65
18125,50.84
18080,51.58
5946,51.41
18677,62.68
6046,49.85
18317,50.87
5892,50.82
5300,49.89
5291,51.42
5819,51.85
18444,62.42
5294,51.64
6055,50.93
6064,52.24
18667,51.9
5541,52.06
5991,61.65
6244,63.03
5837,51.5
5827,50.86
18697,61.44
18146,51.33
5920,50.72
18111,62.34
17933,50.52
18607,49.87
18248,49.61
5831,51.33
5184,49.83
17934,50.02
17746,51.5
6202,51.88
5199,51.73
5884,50.11
17728,50.37
5657,50.21
5144,61.55
6217,50.28
17677,50.42
6026,51.05
6233,63.82
5446,51.46
5962,50.91
18423,61.59
17715,50.4
17841,50.92
5800,51.57
6187,62.32
5361,62.22
5384,51.65
18797,50.77
18287,50.14
5558,50.34
18790,50.74
5771,61.97
5209,50.31
6243,50.46
18747,62.77
18587,50.51
5086,51.02
5443,50.74
5148,49.53
18649,50.82
6278,50.23
18204,62.1
5422,50.55
5467,62.43
17923,61.11
18320,50.94
5094,49.74
6088,51.18
5429,51.02
5529,50.05
18218,49.57
5679,51.12
17913,50.04
18576,50.65
18724,51.14
6238,51.68
18637,50.21
18748,61.12
5252,50.91
18075,49.86
18222,50.16
5273,50.41
5886,50.8
6033,50.05
18291,62.04
5616,49.79
18166,50.56
17692,50.65
5219,51.08
5988,50.72
5504,50.35
18129,61.43
18440,51.36
18488,50.03
18131,50.45
18849,49.96
18162,62.64
18829,50.78
5156,49.65
18013,49.69
18804,49.69
17708,51.31
17795,50
5811,50.69
17936,50.72
5221,49.79
5845,51.56
18490,50.78
5126,52.11
18367,61.46
5767,50.18
5438,48.93
18746,51.03
18883,49.96
17822,50.47
5535,49.99
5447,50.64
5804,50.89
18729,61.35
18032,50.59
5570,50.44
18837,50.71
18690,49.93
5245,51.3
6123,49.51
17916,49.59
18859,49.85
18232,50.98
5954,49.3
5308,50.67
18458,50.56
5813,50.67
5914,50.47
18561,61.59
18114,50.75
5590,50.05
17848,50.97
5309,61.83
5110,50.89
6192,49.59
5079,51.28
5640,49.77
18067,49.7
5695,49.61
18620,60.21
18215,50.49
5626,48.62
17720,50.08
18548,61
6280,49.73
18449,49.4
18450,51.18
18005,49.24
18831,50.05
18683,50.82
17764,50.33
5439,50.36
6322,49.03
18280,51.25
6172,61.21
18466,50.7
18359,50.08
18002,61.89
18334,50.27
6110,52.47
5486,61.27
5251,50.6
5919,50.27
6215,61.48
5812,49.7
18156,49.8
17650,51.22
18415,49.41
18160,50.46
5928,62.53
6056,50.15
18025,50.87
6054,51.26
17681,49.17
17776,51.33
18133,50.04
18708,51.3
5394,50.48
6119,51.18
5270,50.21
17959,50.49
5406,48.99
5950,61.6
18168,49.44
18029,51.3
6239,61.26
18467,50.26
17964,51.07
18656,50.04
18552,49.97
18079,61.04
18678,49.01
6039,49.96
18185,49.49
6203,50.25
5360,50.12
18909,60.69
18196,50.75
18632,49.89
18512,62.5
18034,51.02
5268,50.46
6223,49.5
18631,49.71
5373,50.98
18696,50.26
5789,50.16
18900,51.3
5681,49.16
18283,61.92
18847,51.23
5159,61.63
5551,49.9
18074,49.05
17784,50.19
5335,50.63
18903,48.99
18062,49.5
18630,50.08
5599,50.02
17999,49.37
5701,50.09
18827,60.67
17970,51.24
5419,49.2
18581,62.56
17861,51.28
5393,61.74
17806,50.58
6129,61.89
5161,49.16
17804,49.43
5780,50.16
5479,49.79
18086,49.71
6248,49.59
17798,50.04
18157,48.88
18272,50.33
18022,49.8
18770,50.12
5230,60.88
5565,59.81
18539,49.1
18167,50.41
5615,49.84
18307,48.92
5397,48.71
18102,50.22
18324,61.71
18099,50.19
18015,49.59
5481,50.4
18418,48.96
17831,52.04
6115,50
17982,48.97
18014,48.4
18779,50.57
18820,50.44
18558,49.41
18017,48.62
17837,50.88
5976,49.77
18306,48.8
6272,61.17
18331,49.03
5561,49.73
17669,50.32
18855,50.49
5528,49.61
18321,50.08
18172,50.76
18614,49.31
17748,61.27
17800,50.29
5945,49.86
18514,49.94
5644,50.54
5982,63.03
5288,50.68
6265,49.22
5840,60.39
17851,48.88
18246,49.47
6250,50.57
5214,50.42
18777,48.44
6001,49.66
5782,50.02
5484,48.89
5760,49.52
6218,49.85
5953,50.84
18577,51.46
6264,49.52
17770,49.75
18634,50.89
5938,50.09
6214,50.4
5324,48.49
18108,48.94
18469,50.51
18672,60.87
18480,49.7
18531,61.21
6180,49.66
5454,61.49
5364,59.51
18088,48.54
17922,51.07
6286,49.16
18456,48.79
17975,49.52
18397,49.42
5242,50.63
5244,61.02
18445,48.68
18281,50.05
5636,51.21
17957,48.39
18761,48.85
17990,59.82
5123,50.19
5801,49.11
6235,60.78
6108,49.61
5659,62.39
18503,49.32
5190,48.49
18711,48.79
18670,48.68
18814,61.25
18057,49.83
18751,48.64
18786,49.91
6150,49.34
18574,50.5
18506,49.37
18828,49.18
6069,49.53
5180,49.73
6166,49.1
17791,60.41
5113,49.75
17939,49.95
6259,49.27
17928,60.91
17624,60.11
17623,48.49
18477,49.09
17734,50.39
18275,50.01
17998,49.34
17992,51.05
5655,49.98
5969,48.98
5863,49.02
18803,51.06
5418,50.45
5850,49.88
5240,49.79
5672,49.92
6094,49.09
5293,50.76
5081,49.26
5537,49.48
5663,49.59
17790,60.28
6205,50.75
6198,48.8
5566,60.98
5742,62.53
6096,61.36
6004,60.06
5092,49.68
18593,48.98
6177,50.14
5413,49.67
5917,61.36
5211,49.35
5848,48.24
17839,47.91
5553,49.46
18590,62.35
5451,50.01
6273,49.41
17641,48.76
5523,60.22
17749,50.04
6093,49.73
5440,48.73
18671,60.52
5743,60.62
17740,48.93
5153,49.03
17881,61.01
18256,50.15
18638,49.56
5396,62.1
17997,49.18
17687,49.26
18627,60.28
5277,61.1
18826,49.4
5719,49.4
5600,61.98
18112,48.72
5522,60.17
18089,61.11
5090,48.15
5124,60.04
18120,48.76
5557,49.69
5796,49.63
17937,49.37
18265,48.72
18878,48.87
5773,48.3
18091,60.91
5964,61.7
18019,50.02
5133,49.67
6170,49.9
17803,51.14
5966,50.52
18124,48.58
18717,49.62
5243,48.4
17882,48.72
18533,48.8
18876,49.37
18744,49.15
5278,49.57
5239,61.01
5358,49.94
5574,61.52
5641,60.3
18186,47.8
17885,48.76
5939,48.22
5155,59.99
5412,48.5
17699,60.36
17640,59.48
18522,49.79
17905,49.53
5575,61
5569,49.33
5325,49.88
18703,48.96
17898,47.9
18351,49.21
18560,49.55
5372,59.64
17985,48.54
5186,48.5
5098,48.52
18063,49.55
6041,49.49
5638,49.35
18493,48.16
18216,49.7
18223,48.85
5694,48.75
5088,47.72
18621,48.55
5363,60.84
5943,48.74
5765,49.88
17870,49.4
5106,59.94
18004,48.67
17980,60.96
5385,50.25
5810,48.87
6236,59.11
18393,49.52
5721,47.51
18045,49.06
18335,59.43
18008,49.97
5468,48.44
18806,49.34
17819,48.62
5965,48.16
18230,48.95
5336,48.95
5577,48.18
18760,60.37
17860,49.09
18782,61.02
6072,50.25
17744,47.9
18519,48.01
17811,48.73
5445,48.33
5491,48.07
5992,48
5269,48.36
18608,48.72
5582,48.21
5961,47.35
18092,48.01
17830,47.77
17778,48.43
6036,48.28
17698,48.37
5286,48.76
18619,48.26
6242,58.87
5320,59.72
6149,47.43
18048,48.45
17852,49.69
6208,49.74
18363,49.44
5937,49.76
6007,59.86
5248,47.69
17691,47.79
5411,48.06
5533,60.86
5806,48.89
5867,47.97
5902,60.49
5465,48.57
5441,48.08
5279,57.27
17745,61.67
18795,48.92
18743,60.76
18193,49.94
5935,49.92
5222,48.4
5633,47.52
5326,47.39
6113,46.02
17914,48.25
18132,48.07
18199,48.9
6260,47.46
17893,48.49
5518,60.02
5568,49.63
5231,50.25
5926,49.45
6164,49.46
18126,47.97
17989,59.53
18368,48.45
5527,48.27
17785,58.32
5341,57.78
5979,59.96
17812,51.25
5492,61.56
5864,60.28
18566,61.19
18600,47.97
6301,59.4
17700,47.77
17630,47.79
5936,48.99
18725,49.5
5610,62.39
17775,48.62
17672,62.83
5340,50.01
18290,60.54
18249,47.65
17633,48.2
18392,49.66
18431,51.14
6185,50.88
6075,47.29
18860,48.83
6034,61.3
5322,49.53
5505,50.13
6017,49.59
5604,49.82
18784,49.28
17918,49.95
17854,50.2
5873,50.33
5462,50.34
17946,62.94
6146,49.04
18182,50.05
17945,48.7
18655,50.68
18435,49.29
18226,49.42
18895,50.15
5097,50.54
5871,49.74
18597,60.86
18520,49.81
6050,48.77
18645,49.97
5179,49.01
18564,50.17
5168,50.37
18666,50.21
5301,50.2
18109,50.32
6184,61.11
5635,51.25
6090,49.92
6000,50.48
5437,49.82
5775,48.41
5353,50.7
5985,50.56
17643,49.18
18864,49.08
5865,60.98
6139,49.97
5131,48.72
18346,50.51
18250,50.24
5078,48.88
5524,49.58
18800,50.62
5642,49.49
6163,47.02
6079,49.66
5450,61.2
6015,49.7
18433,48.58
18684,49.12
17887,49.62
5235,50.82
5877,60.29
18902,49.63
6209,49.86
5357,49.53
18289,48.98
18508,49.48
5337,50.13
5408,50.78
5940,50.03
18555,49.46
18844,49.38
6019,49.4
18834,48.92
5913,49.28
18161,49.17
18880,49.01
18434,48.41
18422,49.25
5448,49.16
5737,50.67
5990,49.74
5676,49.64
18484,48.27
18136,48.11
18037,50.34
6226,49.41
18389,48.47
18660,50.07
5718,60.17
18371,49.66
6147,49.17
5189,49.84
18583,48.94
5949,61.26
5267,49.23
5460,48.47
5487,49.51
18811,48.71
6268,48.58
18049,48.51
5082,60.67
17883,60.03
18754,49.74
18907,48.66
5916,59.88
5547,49.54
17621,60.32
5605,60.7
5366,49.99
18184,61.35
5774,49.32
5485,61.02
5416,49.98
18375,48.86
18338,48.53
5495,48.43
18396,48.98
18505,48.86
18386,50.1
5895,48.75
18056,50.48
5490,48.62
5906,61.12
5122,60.23
18378,48.91
18856,60.7
17797,59.44
17771,48.22
18224,47.48
17903,48.48
6309,47.53
18662,47.2
18263,48.4
18453,49.02
5830,60.32
17849,47.79
18268,47.32
17760,48.66
18187,50.52
5287,49.52
18471,49.8
6306,49.29
5591,49.82
5253,48.33
18759,61.04
18209,48.39
17666,48.2
18730,59.69
18235,49.1
5685,47.96
18862,49.15
18373,47.97
18874,49.68
18436,49.68
6116,48.99
17675,47.84
17637,48.94
17781,60.4
6003,60.21
17679,49.24
5880,49.09
18277,48.34
17655,48.67
6045,47.57
18483,48.68
18540,48.8
5802,48.33
5295,48.47
18891,49.91
18234,60.34
5874,48.8
5876,60.59
17835,48.84
17642,60.68
18644,48.48
18152,49.54
5597,50.14
5202,49.44
17977,48.91
5793,49.4
18206,47.86
18604,49.69
5691,60.67
6216,49.43
5272,48.91
18213,47.77
17829,49
6029,48.12
18734,59.55
17988,49.53
5095,48.92
18815,49.77
5115,47.28
17855,61.7
5777,48.95
5647,59.5
5894,48.6
5167,48.25
18888,49.47
6152,48.02
18624,48.77
17995,48.91
18259,48.86
17979,48.01
18381,47.64
18824,47.52
17620,47.98
5878,50.02
6118,60.18
5377,48.94
6230,48.61
18140,49.14
18468,49.39
5304,59.92
5736,48.32
5125,59.95
18629,48.57
18200,48.6
5585,48.53
5952,50.07
5152,61.22
6285,60.9
5630,48.81
18723,49.59
17845,59.13
18532,48.78
18669,59.85
18171,48.39
18384,49.42
5283,48.11
17924,49.82
5307,49.01
5732,49.4
5750,47.45
5915,49.86
5752,48.87
18481,48.39
18473,48.38
18060,49.06
17866,48.86
18817,59
18100,59.53
18507,48.64
5927,49.2
5534,48.42
6200,49.6
5670,61.14
5314,47.76
6294,48.72
5612,47.99
18527,49.01
18742,49.19
17705,48.28
17906,59.1
6199,48.7
18549,48.36
18551,47.44
17940,59.47
18036,47.71
18097,49.16
5154,48.39
5432,60.98
18808,48.52
18836,47.31
17707,49.62
5731,59.11
5452,47.62
18402,48.47
5312,47.94
17827,49.31
17846,48.49
5820,48.42
17834,59.72
17789,48.08
6100,49.14
18128,58.88
18694,49.2
6002,48.3
5995,48.11
18261,48.2
18722,49.95
5758,49.27
17929,48.57
5233,47.54
17807,48.95
18148,49.02
6174,47.81
18712,48.29
18006,48.58
5417,59.43
18247,49.29
5660,48.82
6296,59.63
18379,49.46
18681,60.86
18217,48.92
5414,49.35
5433,59.36
18143,46.98
18406,60.15
6221,48.22
5611,48.49
5887,48.53
18810,46.75
18905,46.76
18602,48.71
6142,48.58
18253,60.44
18719,48.45
6086,61.23
5182,47.93
17981,48.63
5809,49.76
5901,47.79
6160,48.47
6126,48.46
18867,59.45
17721,47.22
18894,48.9
17872,49.77
6143,49.08
6158,49.23
6183,47.38
18733,47.65
5128,47.65
17645,47.85
6279,47.65
18689,47.92
5978,48.73
5555,48.7
5703,47.42
5163,47.83
5147,49.31
17762,47.37
18412,47.67
5112,60.55
18713,48.12
5763,46.86
17625,49.01
5105,47.71
5707,48.57
18718,48.97
5975,47.91
18538,49
18164,49.68
5136,59.2
18534,48.75
5861,48.79
5621,49.36
5776,59.87
18214,48.72
5509,59.83
17894,47.97
17912,47.71
17818,48
5077,58.68
18417,47.83
5165,48.03
18479,48.13
18858,48.04
17955,59.65
17756,49.02
6040,59.62
17961,48.05
18145,46.94
18663,49.41
17833,47.51
18122,48.63
18659,60.23
5192,47.64
18543,59.41
18781,47.28
6262,46.9
18823,47.77
18041,59.22
18304,49.9
5584,60.41
5808,47.45
5629,48.8
18432,48.96
17737,47.6
18130,60.25
18233,49.13
18446,47.76
5455,48.5
6222,47.45
18494,47.74
18284,48.06
5980,59.78
18198,47.26
18179,48.5
5134,48.45
17629,48.38
18009,48.36
17930,47.66
5250,47.92
5104,48.89
5162,47.51
5456,47.16
17779,48.28
17659,49.65
17710,47.19
18313,59.07
5391,47.24
5567,48.03
5868,60.02
18137,60.36
5646,48.52
5327,48.11
6254,48.35
18680,60.19
5625,48.77
18665,48.55
17920,58.82
17892,49.11
5114,48.83
18103,47.4
6068,48.37
17688,59.55
5285,49.09
5794,46.65
18609,47.21
18438,47.6
18058,59.42
18336,47.73
18192,48.25
5652,48.71
17896,48.12
17796,50.05
6031,47.01
17661,58.81
18044,48.16
18839,48.19
5142,48.29
18572,47.81
5539,48.35
6008,48.41
17761,47.67
5883,46.59
18383,47.29
18616,59.19
6317,48.3
5741,59.53
6011,58.87
17732,47.8
5619,48.03
17868,47.91
5710,48.43
18326,48.63
6014,49.32
6061,48.24
6087,48.94
5365,48.08
18886,47.83
18685,48.59
6255,47.76
18329,47.04
5678,47.63
18887,47.72
17910,57.95
18388,59.3
17895,60.28
6229,58.75
6300,48.44
5238,47.4
17635,48.18
6224,47.19
17763,48.56
17752,48.5
5733,48.32
18339,59.92
18675,48.89
5668,59.76
6207,47.81
18594,47.27
17858,58.91
6112,48.58
5249,59.93
5256,58.86
18595,59.31
6035,58.56
18395,48.46
5511,47.2
18153,48.3
5967,46.87
18720,47.86
6053,47.56
5983,57.93
5388,47.53
18646,47.74
17676,47.62
18273,48.67
18654,48.7
5632,48.78
17662,48.58
6289,59.49
5614,46.98
6128,47.76
5449,46.85
17801,47.3
17962,47.64
18863,59.21
5310,48.53
18350,49.72
5593,60.36
5362,48.22
18066,48.07
5700,47.49
5918,47.85
18241,48.03
5709,48.18
5905,47.82
18739,46.65
18372,47.94
18175,48.18
5654,47.07
5321,48.7
5464,47.64
5726,48.68
5911,47.84
18150,47.18
18497,49.05
5208,48.51
18296,47.19
18052,47.91
6263,47.33
18727,46.35
18427,47.8
6211,48.45
18170,47.5
5319,47.2
17648,48.58
6125,59.29
5853,47.76
18095,48.14
5543,47.14
18327,47.78
18848,47.15
17724,47.27
5856,59.19
5580,47.77
6028,46.49
18518,48.65
5542,47.48
18452,48.79
5554,46.86
18354,47.06
5564,48.09
18380,46.45
18101,47.7
5376,47.71
6159,48.04
6266,47.65
5947,47.18
17911,48.34
5799,49.55
18603,59.06
18285,48.17
18220,46.77
5333,46.89
5188,47.85
6245,48.29
18580,60.05
18294,46.81
18737,47.82
5181,46.47
5792,58.89
5317,48.67
5289,47.46
5996,47.94
18251,46.55
18611,47.17
18898,48.29
6204,46.62
5720,57.9
18292,49.01
17813,48.07
5929,47.56
18347,46.31
17733,59.64
5798,58.82
5135,48.59
5755,47.1
5383,49.38
5544,47.46
18353,46.78
6227,47.18
17722,47.06
17971,59.64
18011,47.62
18642,47.56
17657,47.09
6121,46.9
5882,48.59
17777,45.99
18591,47.76
18426,47.41
5313,48.24
5080,47.23
5643,58.88
5772,58.37
17755,48.14
6060,59.3
6141,46.73
17974,47.48
17879,47.42
18117,47.81
5488,47.31
17769,47.66
5606,46.65
18550,47.42
18245,47.69
18819,46.44
18410,59.15
18269,48.28
18763,58.69
18695,47.12
5139,48.02
5860,47.6
18872,46.61
17876,46.33
18054,48.86
18345,47.42
5352,47.38
5477,47.6
6122,46.84
6316,46.42
18295,47.56
5665,46.75
5628,46.25
17832,46.91
18513,47.04
5594,46.72
5702,46.65
17953,48.14
18242,47.24
5083,48.05
5664,58.47
5329,46.47
18310,47.76
5264,46.67
6109,46.23
18364,47.38
5526,58.27
18596,58.88
18526,46.1
5797,47.03
5204,46.17
6038,58.56
5613,46.6
5897,47.61
5427,46.09
17826,47.88
18523,46.35
6257,46.95
18896,46.54
6047,48.29
18342,46.6
18569,46.04
6085,47.41
18081,47.5
6107,46.61
17900,46.14
18571,46.23
